Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
18/09/2020,Bayern Munich,Schalke 04,8-0,1.1,11.0,21.0,1.22,4.33,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schalke 04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2020,Eintracht Frankfurt,Arminia Bielefeld,1-1,1.61,4.2,5.25,1.57,2.37,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arminia Bielefeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2020,FC Cologne,Hoffenheim,2-3,2.6,3.5,2.6,1.57,2.37,FC Cologne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2020,VfB Stuttgart,Freiburg,2-3,2.25,3.5,3.1,1.8,2.0,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2020,Union Berlin,Augsburg,1-3,2.3,3.3,3.2,2.0,1.8,Union Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2020,Werder Bremen,Hertha Berlin,1-4,2.6,3.5,2.62,1.72,2.1,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hertha Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/09/2020,Borussia Dortmund,Borussia M.Gladbach,3-0,1.6,4.33,5.0,1.44,2.75,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/09/2020,RasenBallsport Leipzig,Mainz 05,3-1,1.33,5.75,8.0,1.36,3.2,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/09/2020,Wolfsburg,Bayer Leverkusen,0-0,2.87,3.5,2.37,1.72,2.1,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/09/2020,Hertha Berlin,Eintracht Frankfurt,1-3,2.25,3.75,2.9,1.53,2.5,Hertha Berlin,1,1,0,0,4,1,3,2.05,2.05,0.5,0.5,1.56,4.79,12.09,3,6,2.49,Eintracht Frankfurt,1,0,1,0,1,1,1,2.47,2.47,0.62,0.62,1.85,6.77,12.44,9,2,2.65
26/09/2020,Augsburg,Borussia Dortmund,2-0,7.0,4.75,1.44,1.53,2.5,Augsburg,1,1,0,0,3,1,3,1.42,1.42,1.05,1.05,0.38,21.25,13.22,0,1,1.69,Borussia Dortmund,1,1,0,0,3,0,3,1.7,0.95,0.51,0.51,0.44,28.77,12.1,7,5,2.41
26/09/2020,Arminia Bielefeld,FC Cologne,1-0,2.62,3.5,2.6,1.66,2.2,Arminia Bielefeld,1,0,1,0,1,1,1,0.62,0.62,2.47,2.47,-1.85,12.44,6.77,2,9,0.23,FC Cologne,1,0,0,1,2,3,0,2.41,2.41,2.9,2.15,0.26,11.91,11.54,5,10,0.99
26/09/2020,Bayer Leverkusen,RasenBallsport Leipzig,1-1,3.0,3.5,2.3,1.57,2.37,Bayer Leverkusen,1,0,1,0,0,0,1,0.44,0.44,1.28,1.28,-0.84,11.88,11.65,8,7,0.57,RasenBallsport Leipzig,1,1,0,0,3,1,3,3.23,2.47,1.07,1.07,1.4,6.19,29.59,14,2,2.63
26/09/2020,Mainz 05,VfB Stuttgart,1-4,2.37,3.5,2.9,1.61,2.3,Mainz 05,1,0,0,1,1,3,0,1.07,1.07,3.23,2.47,-1.4,29.59,6.19,2,14,0.25,VfB Stuttgart,1,0,0,1,2,3,0,2.16,2.16,2.07,2.07,0.09,7.62,12.11,12,4,1.41
26/09/2020,Borussia M.Gladbach,Union Berlin,1-1,1.44,4.5,7.5,1.72,2.1,Borussia M.Gladbach,1,0,0,1,0,3,0,0.51,0.51,1.7,0.95,-0.44,12.1,28.77,5,7,0.38,Union Berlin,1,0,0,1,1,3,0,1.05,1.05,1.42,1.42,-0.38,13.22,21.25,1,0,1.02
