Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
10/08/2018,Manchester United,Leicester,2-1,1.57,3.9,7.5,2.03,1.79,Manchester United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2018,Bournemouth,Cardiff,2-0,1.9,3.6,4.5,1.98,1.83,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cardiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2018,Fulham,Crystal Palace,0-2,2.5,3.4,3.0,1.95,1.87,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2018,Huddersfield,Chelsea,0-3,6.5,4.0,1.61,1.98,1.84,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2018,Newcastle United,Tottenham,1-2,3.9,3.5,2.04,2.01,1.81,Newcastle United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2018,Watford,Brighton,2-0,2.37,3.2,3.4,2.35,1.59,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2018,Wolverhampton Wanderers,Everton,2-2,2.37,3.3,3.3,2.09,1.75,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2018,Arsenal,Manchester City,0-2,4.0,3.8,1.95,1.55,2.42,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2018,Liverpool,West Ham,4-0,1.25,6.5,14.0,1.44,2.72,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2018,Southampton,Burnley,0-0,1.85,3.5,5.0,2.34,1.6,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
